File, Satisfied, Time, Clauses
f0020-05-s.cnf, SAT, 0seconds, 84
f0040-04-u.cnf, UNSAT, 337.41seconds, 166
f0020-01-u.cnf, UNSAT, 0.8seconds, 83
f0020-02-s.cnf, SAT, 0seconds, 84
f0040-05-u.cnf, UNSAT, 426.92seconds, 167
f0020-02-u.cnf, UNSAT, 0.42seconds, 83
f0020-01-s.cnf, SAT, 0.1seconds, 84
f0040-05-s.cnf, SAT, 74.64seconds, 168
f0020-07-s.cnf, SAT, 0.1seconds, 84
f0040-06-s.cnf, SAT, 68.59seconds, 168
f0040-03-s.cnf, SAT, 3.74seconds, 168
f0020-04-u.cnf, UNSAT, 1.22seconds, 83
f0040-04-s.cnf, SAT, 21.48seconds, 168
f0020-08-u.cnf, UNSAT, 0.5seconds, 83
f0020-03-s.cnf, SAT, 0.1seconds, 84
f0040-08-s.cnf, SAT, 179.81seconds, 168
f0040-07-s.cnf, SAT, 21.46seconds, 168
f0040-02-s.cnf, SAT, 340.19seconds, 168
f0020-07-u.cnf, UNSAT, 0.3seconds, 83
f0040-06-u.cnf, UNSAT, 201.4seconds, 167
f0040-07-u.cnf, UNSAT, 645.15seconds, 167
f0020-08-s.cnf, SAT, 0.16seconds, 84
f0040-01-s.cnf, SAT, 8.35seconds, 168
f0020-03-u.cnf, UNSAT, 0.61seconds, 83
f0040-01-u.cnf, UNSAT, 382.62seconds, 167
f0040-08-u.cnf, UNSAT, 717.04seconds, 167
f0020-04-s.cnf, SAT, 0.06seconds, 84
f0020-06-u.cnf, UNSAT, 0.32seconds, 83
f0040-03-u.cnf, UNSAT, 597.49seconds, 167
f0020-06-s.cnf, SAT, 0.33seconds, 84
f0040-02-u.cnf, UNSAT, 80.84seconds, 167
f0020-05-u.cnf, UNSAT, 1.06seconds, 83
